Biomarker Name,ID,Exhaustive Synonyms,Type
"PC(20:4(5Z,8Z,11Z,14Z)/22:0)",HMDB0008446,1-Arachidonoyl-2-behenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:4(5Z,8Z,11Z,14Z)/22:1(13Z))",HMDB0008447,1-Arachidonoyl-2-erucoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:4(8Z,11Z,14Z,17Z)/14:0)",HMDB0008459,,Chemical
"PC(20:4(8Z,11Z,14Z,17Z)/16:1(9Z))",HMDB0008463,,Chemical
"PC(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))",HMDB0008467,,Chemical
"PC(20:4(8Z,11Z,14Z,17Z)/20:0)",HMDB0008471,,Chemical
"PC(20:4(8Z,11Z,14Z,17Z)/20:2(11Z,14Z))",HMDB0008473,,Chemical
"PC(20:4(8Z,11Z,14Z,17Z)/22:0)",HMDB0008479,,Chemical
"PC(20:4(8Z,11Z,14Z,17Z)/22:1(13Z))",HMDB0008480,,Chemical
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",HMDB0008495,1-Eicosapentaenoyl-2-palmitoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",HMDB0008496,1-Eicosapentaenoyl-2-palmitoleoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(11Z))",HMDB0008498,1-Eicosapentaenoyl-2-cis-vaccenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))",HMDB0008499,1-Eicosapentaenoyl-2-oleoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:1(11Z))",HMDB0008505,1-Eicosapentaenoyl-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine,Chemical
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:0)",HMDB0008512,1-Eicosapentaenoyl-2-behenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-16:0)",HMDB0008521,1-Eicosapentaenoyl-2-(palmitoyl-plasmenyl)-sn-glycero-3-phosphocholine,Chemical
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:1(11Z))",HMDB0008523,,Chemical
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:1(9Z))",HMDB0008524,,Chemical
PC(22:0/14:0),HMDB0008525,1-Behenoyl-2-myristoyl-sn-glycero-3-phosphocholine,Chemical
PC(22:0/14:1(9Z)),HMDB0008526,1-Behenoyl-2-myristoleoyl-sn-glycero-3-phosphocholine,Chemical
"PC(22:0/18:4(6Z,9Z,12Z,15Z))",HMDB0008536,1-Behenoyl-2-stearidonoyl-sn-glycero-3-phosphocholine,Chemical
PC(22:0/20:0),HMDB0008537,1-Behenoyl-2-arachidoyl-sn-glycero-3-phosphocholine,Chemical
PC(22:0/20:1(11Z)),HMDB0008538,1-Behenoyl-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine,Chemical
"PC(22:0/20:4(5Z,8Z,11Z,14Z))",HMDB0008542,1-Behenoyl-2-arachidonoyl-sn-glycero-3-phosphocholine,Chemical
"PC(22:0/20:4(8Z,11Z,14Z,17Z))",HMDB0008543,,Chemical
"PC(22:0/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008544,1-Behenoyl-2-eicosapentaenoyl-sn-glycero-3-phosphocholine,Chemical
PC(22:1(13Z)/14:0),HMDB0008558,1-Erucoyl-2-myristoyl-sn-glycero-3-phosphocholine,Chemical
"PC(22:1(13Z)/18:3(6Z,9Z,12Z))",HMDB0008566,1-Erucoyl-2-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(22:1(13Z)/18:3(9Z,12Z,15Z))",HMDB0008567,1-Erucoyl-2-alpha-linolenoyl-sn-glycero-3-phosphocholine,Chemical
PC(22:1(13Z)/20:0),HMDB0008569,1-Erucoyl-2-arachidoyl-sn-glycero-3-phosphocholine,Chemical
"PC(22:1(13Z)/20:3(5Z,8Z,11Z))",HMDB0008572,"1-Erucoyl-2-(5Z,8Z,11Z-eicosatrienoyl)-sn-glycero-3-phosphocholine",Chemical
"PC(22:1(13Z)/20:3(8Z,11Z,14Z))",HMDB0008573,1-Erucoyl-2-dihomo-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(22:1(13Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008574,1-Erucoyl-2-arachidonoyl-sn-glycero-3-phosphocholine,Chemical
"PC(22:1(13Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008575,,Chemical
"PC(22:2(13Z,16Z)/16:1(9Z))",HMDB0008594,,Chemical
"PC(22:2(13Z,16Z)/18:2(9Z,12Z))",HMDB0008598,,Chemical
"PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008601,,Chemical
"PC(22:2(13Z,16Z)/20:2(11Z,14Z))",HMDB0008604,,Chemical
"PC(22:2(13Z,16Z)/20:3(5Z,8Z,11Z))",HMDB0008605,,Chemical
"PC(22:2(13Z,16Z)/20:3(8Z,11Z,14Z))",HMDB0008606,,Chemical
"PC(22:4(7Z,10Z,13Z,16Z)/14:1(9Z))",HMDB0008624,,Chemical
"PC(22:4(7Z,10Z,13Z,16Z)/18:0)",HMDB0008628,,Chemical
"PC(22:4(7Z,10Z,13Z,16Z)/18:2(9Z,12Z))",HMDB0008631,,Chemical
"PC(22:4(7Z,10Z,13Z,16Z)/20:0)",HMDB0008635,,Chemical
"PC(22:4(7Z,10Z,13Z,16Z)/20:1(11Z))",HMDB0008636,,Chemical
"PC(22:4(7Z,10Z,13Z,16Z)/P-18:0)",HMDB0008653,,Chemical
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/14:0)",HMDB0008656,,Chemical
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/14:1(9Z))",HMDB0008657,,Chemical
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z))",HMDB0008660,,Chemical
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(11Z))",HMDB0008662,,Chemical
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z))",HMDB0008663,,Chemical
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:0)",HMDB0008668,,Chemical
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(11Z))",HMDB0008687,,Chemical
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z))",HMDB0008688,,Chemical
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/14:0)",HMDB0008689,,Chemical
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/14:1(9Z))",HMDB0008690,,Chemical
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:1(9Z))",HMDB0008693,,Chemical
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:1(11Z))",HMDB0008695,,Chemical
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:1(9Z))",HMDB0008696,,Chemical
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:0)",HMDB0008701,,Chemical
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(11Z))",HMDB0008720,,Chemical
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))",HMDB0008721,,Chemical
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:0)",HMDB0008722,1-Docosahexaenoyl-2-myristoyl-sn-glycero-3-phosphocholine,Chemical
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)",HMDB0008725,1-Docosahexaenoyl-2-palmitoyl-sn-glycero-3-phosphocholine,Chemical
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)",HMDB0008727,1-Docosahexaenoyl-2-stearoyl-sn-glycero-3-phosphocholine,Chemical
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0)",HMDB0008751,,Chemical
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)",HMDB0008752,,Chemical
PC(24:0/18:0),HMDB0008760,1-Lignoceroyl-2-stearoyl-sn-glycero-3-phosphocholine,Chemical
PC(24:0/18:1(11Z)),HMDB0008761,1-Lignoceroyl-2-cis-vaccenoyl-sn-glycero-3-phosphocholine,Chemical
PC(24:0/18:1(9Z)),HMDB0008762,1-Lignoceroyl-2-oleoyl-sn-glycero-3-phosphocholine,Chemical
"PC(24:0/18:4(6Z,9Z,12Z,15Z))",HMDB0008766,1-Lignoceroyl-2-stearidonoyl-sn-glycero-3-phosphocholine,Chemical
PC(24:0/P-18:0),HMDB0008785,,Chemical
PC(24:0/P-18:1(11Z)),HMDB0008786,,Chemical
PC(24:0/P-18:1(9Z)),HMDB0008787,,Chemical
PC(24:1(15Z)/18:0),HMDB0008793,1-Nervonoyl-2-stearoyl-sn-glycero-3-phosphocholine,Chemical
"PC(24:1(15Z)/18:3(6Z,9Z,12Z))",HMDB0008797,1-Nervonoyl-2-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(24:1(15Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008799,1-Nervonoyl-2-stearidonoyl-sn-glycero-3-phosphocholine,Chemical
PC(24:1(15Z)/P-18:0),HMDB0008818,,Chemical
SM(d18:1/16:0),HMDB0010169,"Palmitoyl sphingomyelin, N-Palmitoyl-D-erythro-sphingosylphosphorylcholine",Chemical
11b-PGF2a,HMDB0010199,11-beta-Prostaglandin F2α,Chemical
Ethyl glucuronide,HMDB0010325,EtG,Chemical
"5,8,11-Eicosatrienoic acid",HMDB0010378,Mead acid,Chemical
LysoPC(14:0),HMDB0010379,1-Myristoyl-sn-glycero-3-phosphocholine,Chemical
LysoPC(16:0),HMDB0010382,1-Palmitoyl-sn-glycero-3-phosphocholine,Chemical
LysoPC(18:0),HMDB0010384,1-Stearoyl-sn-glycero-3-phosphocholine,Chemical
LysoPC(18:1(11Z)),HMDB0010385,1-cis-Vaccenoyl-sn-glycero-3-phosphocholine,Chemical
"LysoPC(18:2(9Z,12Z))",HMDB0010386,1-Linoleoyl-sn-glycero-3-phosphocholine,Chemical
"LysoPC(20:3(5Z,8Z,11Z))",HMDB0010393,"1-(5Z,8Z,11Z-Eicosatrienoyl)-sn-glycero-3-phosphocholine",Chemical
"LysoPC(20:4(8Z,11Z,14Z,17Z))",HMDB0010396,,Chemical
LysoPC(P-18:1(9Z)),HMDB0010408,,Chemical
1-Methylxanthine,HMDB0010738,,Chemical
"1,7-Dimethyluric acid",HMDB0011103,,Chemical
5-Acetylamino-6-formylamino-3-methyluracil,HMDB0011105,AFMU,Chemical
5-HETE,HMDB0011134,5-Hydroxyeicosatetraenoic acid,Chemical
"PC(20:3(8Z,11Z,14Z)/20:1(11Z))",HMDB0011201,,Chemical
PC(P-16:0/14:0),HMDB0011203,1-(Palmitoyl-plasmenyl)-2-myristoyl-sn-glycero-3-phosphocholine,Chemical
PC(P-16:0/16:1(9Z)),HMDB0011207,1-(Palmitoyl-plasmenyl)-2-palmitoleoyl-sn-glycero-3-phosphocholine,Chemical
PC(P-16:0/18:1(11Z)),HMDB0011209,,Chemical
PC(P-16:0/18:1(9Z)),HMDB0011210,,Chemical
"PC(P-16:0/18:2(9Z,12Z))",HMDB0011211,,Chemical
"PC(P-16:0/18:3(6Z,9Z,12Z))",HMDB0011212,,Chemical
"PC(P-16:0/18:3(9Z,12Z,15Z))",HMDB0011213,,Chemical
"PC(P-16:0/18:4(6Z,9Z,12Z,15Z))",HMDB0011214,,Chemical
PC(P-16:0/20:0),HMDB0011215,,Chemical
PC(P-16:0/20:1(11Z)),HMDB0011216,,Chemical
"PC(P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0011229,,Chemical
PC(P-18:0/14:1(9Z)),HMDB0011237,,Chemical
PC(P-18:0/16:1(9Z)),HMDB0011240,,Chemical
PC(P-18:0/18:0),HMDB0011241,,Chemical
PC(P-18:0/18:1(11Z)),HMDB0011242,,Chemical
PC(P-18:0/18:1(9Z)),HMDB0011243,,Chemical
"PC(P-18:0/20:3(5Z,8Z,11Z))",HMDB0011251,,Chemical
"PC(P-18:0/20:3(8Z,11Z,14Z))",HMDB0011252,,Chemical
"PC(P-18:0/22:4(7Z,10Z,13Z,16Z))",HMDB0011259,,Chemical
"PC(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0011262,,Chemical
PC(P-18:0/24:0),HMDB0011263,,Chemical
PC(P-18:0/24:1(15Z)),HMDB0011264,,Chemical
PC(P-18:1(11Z)/14:0),HMDB0011269,,Chemical
PC(P-18:1(11Z)/14:1(9Z)),HMDB0011270,,Chemical
PC(P-18:1(11Z)/16:0),HMDB0011272,,Chemical
PC(P-18:1(11Z)/16:1(9Z)),HMDB0011273,,Chemical
PC(P-18:1(11Z)/18:0),HMDB0011274,,Chemical
"PC(P-18:1(11Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0011280,,Chemical
"PC(P-18:1(11Z)/20:2(11Z,14Z))",HMDB0011283,,Chemical
"PC(P-18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0011288,,Chemical
"PC(P-18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0011293,,Chemical
"PC(P-18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0011294,,Chemical
PC(P-18:1(11Z)/24:0),HMDB0011296,,Chemical
PC(P-18:1(9Z)/14:0),HMDB0011302,,Chemical
PC(P-18:1(9Z)/14:1(9Z)),HMDB0011303,,Chemical
PC(P-18:1(9Z)/16:0),HMDB0011305,,Chemical
PC(P-18:1(9Z)/16:1(9Z)),HMDB0011306,,Chemical
PC(P-18:1(9Z)/18:0),HMDB0011307,,Chemical
"PC(P-18:1(9Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0011313,,Chemical
"PC(P-18:1(9Z)/20:2(11Z,14Z))",HMDB0011316,,Chemical
"PC(P-18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0011321,,Chemical
PC(P-18:1(9Z)/22:0),HMDB0011322,,Chemical
"PC(P-18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0011326,,Chemical
"PC(P-18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0011327,,Chemical
PC(P-18:1(9Z)/24:0),HMDB0011329,,Chemical
1-Methyladenine,HMDB0011599,m1A,Chemical
3-Methyladenine,HMDB0011600,m3A,Chemical
4-Hydroxybenzaldehyde,HMDB0011718,,Chemical
2-Methylhippuric acid,HMDB0011723,o-Methylhippuric acid,Chemical
2-Phenylpropionate,HMDB0011743,Hydratropic acid,Chemical
SM(d18:1/24:1(15Z)),HMDB0012107,"Nervonoyl sphingomyelin, N-Nervonoyl-D-erythro-sphingosylphosphorylcholine",Chemical
LysoPC(17:0),HMDB0012108,1-Heptadecanoyl-sn-glycero-3-phosphocholine,Chemical
Hydroxypropionylcarnitine,HMDB0013125,3-Hydroxypropionylcarnitine,Chemical
Valerylcarnitine,HMDB0013128,"C5 Carnitine, Pentanoylcarnitine",Chemical
Hydroxyvalerylcarnitine,HMDB0013132,3-Hydroxyvalerylcarnitine,Chemical
trans-2-Dodecenoylcarnitine,HMDB0013326,,Chemical
"PC(o-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0013409,1-O-Hexadecyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,Chemical
PC(o-16:1(9Z)/22:0),HMDB0013416,1-O-(9Z-Hexadecenyl)-2-behenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(o-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0013422,1-O-Octadecyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(o-18:1(11Z)/18:2(9Z,12Z))",HMDB0013425,1-O-(11Z-Octadecenyl)-2-linoleoyl-sn-glycero-3-phosphocholine,Chemical
"PC(o-18:1(9Z)/18:2(9Z,12Z))",HMDB0013429,1-O-(9Z-Octadecenyl)-2-linoleoyl-sn-glycero-3-phosphocholine,Chemical
PC(o-18:1(9Z)/20:1(11Z)),HMDB0013431,1-O-(9Z-Octadecenyl)-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine,Chemical
PC(o-18:1(9Z)/24:0),HMDB0013434,1-O-(9Z-Octadecenyl)-2-lignoceroyl-sn-glycero-3-phosphocholine,Chemical
"PC(o-18:2(9Z,12Z)/24:0)",HMDB0013438,"1-O-(9Z,12Z-Octadecadienyl)-2-lignoceroyl-sn-glycero-3-phosphocholine",Chemical
"PC(o-20:1(11Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0013444,,Chemical
"PC(o-22:0/18:3(9Z,12Z,15Z))",HMDB0013446,1-O-Docosyl-2-alpha-linolenoyl-sn-glycero-3-phosphocholine,Chemical
PC(o-22:0/20:1(11Z)),HMDB0013447,1-O-Docosyl-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine,Chemical
"PC(o-22:0/20:4(8Z,11Z,14Z,17Z))",HMDB0013448,,Chemical
"PC(o-22:1(13Z)/22:3(10Z,13Z,16Z))",HMDB0013453,,Chemical
"PC(o-22:2(13Z,16Z)/20:2(11Z,14Z))",HMDB0013454,,Chemical
"PC(o-22:2(13Z,16Z)/22:2(13Z,16Z))",HMDB0013455,,Chemical
"PC(o-22:2(13Z,16Z)/22:3(10Z,13Z,16Z))",HMDB0013456,,Chemical
"PC(o-24:0/18:3(6Z,9Z,12Z))",HMDB0013458,1-O-Tetracosyl-2-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(o-24:0/18:3(9Z,12Z,15Z))",HMDB0013459,1-O-Tetracosyl-2-alpha-linolenoyl-sn-glycero-3-phosphocholine,Chemical
"PC(o-24:0/20:4(8Z,11Z,14Z,17Z))",HMDB0013460,,Chemical
SM(d18:0/14:1(9Z)(OH)),HMDB0013462,,Chemical
SM(d18:0/22:1(13Z)(OH)),HMDB0013466,,Chemical
Triglycerides,N/A,"TG, Triacylglycerol, TAG",Chemical
LDL Cholesterol,N/A,"LDL-C, Low-Density Lipoprotein Cholesterol",Chemical
HDL Cholesterol,N/A,"HDL-C, High-Density Lipoprotein Cholesterol",Chemical
1-Hydroxyphenanthrene,HMDB0059797,1-Phenanthrol,Chemical
1-Hydroxypyrene,HMDB0013139,,Chemical
1-Naphthol,HMDB0012138,"alpha-Naphthol, α-Naphthol",Chemical
2-Hydroxyfluorene,HMDB0013163,,Chemical
2-Naphthol,HMDB0012322,"beta-Naphthol, β-Naphthol",Chemical
"2,4-Dichlorophenol",HMDB0004811,"2,4-DCP",Chemical
"2,4-Dichlorophenoxyacetic acid",HMDB0041797,"2,4-D",Chemical
"2,4,5-Trichlorophenol",HMDB0061729,"2,4,5-TCP",Chemical
"2,4,6-Trichlorophenol",HMDB0061728,"2,4,6-TCP",Chemical
"2,5-Dichlorophenol",HMDB0041800,"2,5-DCP",Chemical
"2,5-Dimethylfuran",HMDB0033182,,Chemical
3-Hydroxyfluorene,HMDB0059802,,Chemical
3-Hydroxyphenanthrene,HMDB0059799,3-Phenanthrol,Chemical
9-Hydroxyfluorene,HMDB0059803,,Chemical
Arsenic,HMDB0002290,As,Chemical
Barium,HMDB0004142,Ba,Chemical
Bisphenol A,HMDB0032133,BPA,Chemical
Chloroform,HMDB0029596,Trichloromethane,Chemical
Chondrillasterol,HMDB0033885,,Chemical
Diethyldithiophosphate,HMDB0061736,DEDTP,Chemical
Dimethyldithiophosphate,HMDB0061737,DMDTP,Chemical
Dimethylphosphate,HMDB0061734,DMP,Chemical
Ethylbenzene,HMDB0059905,,Chemical
Mono-(2-ethyl-5-carboxypentyl) phthalate,HMDB0094647,MECPP,Chemical
Mono-(2-ethyl-5-hydroxyhexyl) phthalate,HMDB0094679,MEHHP,Chemical
Mono-(2-ethyl-5-oxohexyl) phthalate,HMDB0094645,MEOHP,Chemical
Mono-(3-carboxypropyl) phthalate,HMDB0061748,MCPP,Chemical
Mono-benzyl phthalate,HMDB0061744,MBzP,Chemical
o-Xylene,HMDB0059851,"1,2-Dimethylbenzene",Chemical
Pentachlorophenol,HMDB0041974,PCP,Chemical
Perchlorate,HMDB0094714,ClO4-,Chemical
Perchloroethylene,HMDB0041980,"Tetrachloroethylene, PCE",Chemical
Perfluorodecanoic acid,HMDB0061738,PFDA,Chemical
Perfluorohexane sulfonic acid,HMDB0094700,PFHxS,Chemical
Perfluorononanoic acid,HMDB0061739,PFNA,Chemical
Perfluorooctane sulfonamide,HMDB0061740,PFOSA,Chemical
Perfluorooctanesulfonic acid,HMDB0059586,PFOS,Chemical
Perfluorooctanoic acid,HMDB0059587,PFOA,Chemical
Perfluoroundecanoic acid,HMDB0061743,PFUnDA,Chemical
Styrene,HMDB0034240,Vinylbenzene,Chemical
Thallium,HMDB0013724,Tl,Chemical
Toluene,HMDB0034168,Methylbenzene,Chemical
Triclosan,HMDB0061385,,Chemical
(2E)-2-Heptenal,HMDB0033827,,Chemical
1-Hydroxy-2-butanone,HMDB0031507,,Chemical
2-Furancarboxaldehyde,HMDB0032914,Furfural,Chemical
2-Hexenal,HMDB0031496,,Chemical
2-Hexenoylcarnitine,HMDB0013161,,Chemical
2-Hydroxyglutarate,HMDB0059655,"2-HG, alpha-Hydroxyglutarate",Chemical
2-Nonenal,HMDB0031269,,Chemical
3-Hydroxy-cis-5-tetradecenoylcarnitine,HMDB0013330,,Chemical
3-Hydroxybutyrylcarnitine,HMDB0013127,,Chemical
3-Hydroxyisovalerylcarnitine,HMDB0061189,3-OH-C5 carnitine,Chemical
3-Methylglutarylcarnitine,HMDB0000552,,Chemical
4-Decenal,HMDB0041014,,Chemical
4-Hydroxyhippuric acid,HMDB0013678,p-Hydroxyhippuric acid,Chemical
4Alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol,HMDB0012173,,Chemical
Acrolein,HMDB0041822,2-Propenal,Chemical
Ammonium,HMDB0041827,NH4+,Chemical
Arginine vasopressin 1-8,HMDB0012895,,Chemical
beta-Pinene,HMDB0036560,β-Pinene,Chemical
Butyl propionate,HMDB0030052,,Chemical
Capryloylglycine,HMDB0000832,N-Octanoylglycine,Chemical
cis-5-Decenedioic acid,HMDB0013227,,Chemical
Coprocholic acid,HMDB0000601,,Chemical
Cytidine monophosphate,HMDB0000095,"CMP, Cytidylate",Chemical
Deoxyadenosine triphosphate,HMDB0001532,dATP,Chemical
Diacetyl,HMDB0003407,"2,3-Butanedione",Chemical
Ethyl butyrate,HMDB0033889,,Chemical
Ethyl propionate,HMDB0030058,,Chemical
Ethylamine,HMDB0013231,Ethanamine,Chemical
Heptanal,HMDB0031475,,Chemical
Indole,HMDB0000738,,Chemical
Isocaproic acid,HMDB0000689,4-Methylpentanoic acid,Chemical
Lauric aldehyde,HMDB0033933,Dodecanal,Chemical
Linoleyl carnitine,HMDB0006469,C18:2 Carnitine,Chemical
Meta-hydroxyphenylhydracrylic Acid,HMDB0062595,,Chemical
Methyl butyrate,HMDB0033890,,Chemical
N4-Acetylcytidine,HMDB0005923,ac4C,Chemical
Nitrogen,HMDB0001371,N,Chemical
Nonanal,HMDB0059835,Aldehyde C-9,Chemical
Nonanoylcarnitine,HMDB0013288,C9 Carnitine,Chemical
Octadecenoylcarnitine,HMDB0094687,C18:1 Carnitine,Chemical
Octyl acetate,HMDB0038602,,Chemical
PC(O-16:0/20:0),HMDB0013406,,Chemical
PC(O-16:0/22:0),HMDB0013408,,Chemical
PC(O-18:0/24:0),HMDB0013423,,Chemical
PC(O-20:0/22:0),HMDB0013443,,Chemical
"PC(O-22:0/22:3(10Z,13Z,16Z))",HMDB0013449,,Chemical
"PC(O-22:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0013450,,Chemical
"PC(O-22:1(13Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0013451,,Chemical
Pregnanetriol,HMDB0006070,"5β-Pregnane-3α,17α,20α-triol",Chemical
SM C16:1,HMDB0029216,Palmitoleoyl sphingomyelin,Chemical
Somatostatin,HMDB0013072,"SST, GHIH (Growth hormone-inhibiting hormone)",Chemical
Tetradecanol,HMDB0011638,"1-Tetradecanol, Myristyl alcohol",Chemical
Thiophene,HMDB0029718,,Chemical
trans-2-Hexenedioic acid,HMDB0013311,,Chemical
trans-3-Octenedioic acid,HMDB0013312,,Chemical
Valerylglycine,HMDB0000927,N-Pentanoylglycine,Chemical
Acrylamide,HMDB0004296,,Chemical
Dimethylthiophosphate (DMTP),HMDB0061735,,Chemical
Dimethylarsinic acid,HMDB0011625,Cacodylic acid,Chemical
"2,2',3,4',5',6-Hexachlorobiphenyl",HMDB0246230,PCB 149,Chemical
Dibromochloromethane,HMDB0059903,Chlorodibromomethane,Chemical
Benzophenone-3,HMDB0015497,Oxybenzone,Chemical
Ethylene thiourea,HMDB0245172,ETU,Chemical
"2,4,5-Trichlorophenoxyacetic acid",HMDB0245475,"2,4,5-T",Chemical
Malathion dicarboxylic acid,HMDB0060636,,Chemical
"trans-3-(2,2-Dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid",HMDB0242452,trans-DCCA,Chemical
4-Fluoro-3-phenoxybenzoic acid,HMDB0246421,,Chemical
Arsenocholine,HMDB0032683,,Chemical
Platinum,HMDB0013671,Pt,Chemical
Perfluoroheptanoic acid,HMDB0256322,PFHpA,Chemical
Mono-n-octyl phthalate,HMDB0254869,MOP,Chemical
"2-Amino-9H-pyrido[2,3-b]indole",HMDB0033141,"A-alpha-C, AαC",Chemical
Tetrachloromethane,HMDB0031330,Carbon tetrachloride,Chemical
2-Thioxothiazolidine-4-carboxylic acid,HMDB0301802,TTCA,Chemical
Endrin,HMDB0031211,,Chemical
Mirex,HMDB0059573,,Chemical
"2,2’,4,4’,5,6’-Hexabromodiphenyl ether",HMDB0037526,BDE-154,Chemical
"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",HMDB0244128,HxCDD,Chemical
"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",HMDB0244138,HxCDD,Chemical
"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",HMDB0244136,PeCDD,Chemical
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",HMDB0258755,"TCDD, Dioxin",Chemical
"1,2,3,4,7,8-Hexachlorodibenzofuran",HMDB0244129,HxCDF,Chemical
"1,2,3,6,7,8-Hexachlorodibenzofuran",HMDB0244135,HxCDF,Chemical
"2,3,4,7,8-Pentachlorodibenzofuran",HMDB0245434,PeCDF,Chemical
"3,4,4',5-Tetrachlorobiphenyl",HMDB0246039,PCB 81,Chemical
"2,3,3’,4,4’,5,5’-Heptachlorobiphenyl",HMDB0245419,PCB 189,Chemical
"2,2',3,3',4,4'-Hexachlorobiphenyl",HMDB0248611,PCB 128,Chemical
"2,2',3,5,5',6-Hexachlorobiphenyl",HMDB0246909,PCB 151,Chemical
3-Methylhippuric acid,HMDB0013245,m-Methylhippuric acid,Chemical
6-Shogaol,HMDB0303115,,Chemical
Dihydroferulic acid sulfate,HMDB0041724,,Chemical
Dihydroferulic acid glucuronide,HMDB0041723,,Chemical
(−)-Epigallocatechin,HMDB0038361,,Chemical
Epigallocatechin,HMDB0038361,EGC,Chemical
Vanillyl alcohol,HMDB0032012,,Chemical
10-Gingerol,HMDB0005783,,Chemical
Crocetin,HMDB0035098,,Chemical
NNAL (4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol),HMDB0041809,NNAL,Chemical
